Mouse Hareket Etti - X: 409, Y: 382, Zaman: 143 ms
Mouse Hareket Etti - X: 416, Y: 381, Zaman: 147 ms
Mouse Hareket Etti - X: 417, Y: 381, Zaman: 147 ms
Mouse Hareket Etti - X: 419, Y: 381, Zaman: 148 ms
Mouse Hareket Etti - X: 421, Y: 380, Zaman: 149 ms
Mouse Hareket Etti - X: 424, Y: 380, Zaman: 150 ms
Mouse Hareket Etti - X: 427, Y: 379, Zaman: 151 ms
Mouse Hareket Etti - X: 428, Y: 379, Zaman: 152 ms
Mouse Hareket Etti - X: 430, Y: 379, Zaman: 153 ms
Mouse Hareket Etti - X: 433, Y: 379, Zaman: 154 ms
Mouse Hareket Etti - X: 435, Y: 379, Zaman: 155 ms
Mouse Hareket Etti - X: 439, Y: 379, Zaman: 156 ms
Mouse Hareket Etti - X: 441, Y: 378, Zaman: 157 ms
Mouse Hareket Etti - X: 444, Y: 378, Zaman: 158 ms
Mouse Hareket Etti - X: 448, Y: 378, Zaman: 159 ms
Mouse Hareket Etti - X: 450, Y: 377, Zaman: 160 ms
Mouse Hareket Etti - X: 453, Y: 377, Zaman: 161 ms
Mouse Hareket Etti - X: 457, Y: 377, Zaman: 162 ms
Mouse Hareket Etti - X: 459, Y: 377, Zaman: 163 ms
Mouse Hareket Etti - X: 463, Y: 377, Zaman: 164 ms
Mouse Hareket Etti - X: 466, Y: 376, Zaman: 165 ms
Mouse Hareket Etti - X: 469, Y: 376, Zaman: 166 ms
Mouse Hareket Etti - X: 473, Y: 376, Zaman: 167 ms
Mouse Hareket Etti - X: 476, Y: 375, Zaman: 168 ms
Mouse Hareket Etti - X: 479, Y: 375, Zaman: 169 ms
Mouse Hareket Etti - X: 484, Y: 374, Zaman: 170 ms
Mouse Hareket Etti - X: 487, Y: 374, Zaman: 171 ms
Mouse Hareket Etti - X: 491, Y: 373, Zaman: 172 ms
Mouse Hareket Etti - X: 495, Y: 373, Zaman: 173 ms
Mouse Hareket Etti - X: 499, Y: 373, Zaman: 174 ms
Mouse Hareket Etti - X: 504, Y: 373, Zaman: 175 ms
Mouse Hareket Etti - X: 508, Y: 373, Zaman: 176 ms
Mouse Hareket Etti - X: 512, Y: 372, Zaman: 177 ms
